sensor_type,timestamp,nis
L,1477010454400000,4.94592
R,1477010454450000,0.619426
L,1477010454500000,2.7606
R,1477010454550000,1.61651
L,1477010454600000,2.14736
R,1477010454650000,0.652612
L,1477010454700000,0.673782
R,1477010454750000,3.25916
L,1477010454800000,5.3857
R,1477010454850000,1.87739
L,1477010454900000,1.15134
R,1477010454950000,4.62243
L,1477010455000000,0.0503084
R,1477010455050000,5.06364
L,1477010455100000,1.97825
R,1477010455150000,9.1555
L,1477010455200000,1.52877
R,1477010455250000,0.95201
L,1477010455300000,1.52437
R,1477010455350000,5.18734
L,1477010455400000,0.076835
R,1477010455450000,4.36879
L,1477010455500000,1.80456
R,1477010455550000,4.20612
L,1477010455600000,1.1113
R,1477010455650000,0.058745
L,1477010455700000,3.36289
R,1477010455750000,4.3097
L,1477010455800000,4.62794
R,1477010455850000,1.0043
L,1477010455900000,0.127749
R,1477010455950000,5.24185
L,1477010456000000,0.106982
R,1477010456050000,2.59319
L,1477010456100000,1.55217
R,1477010456150000,0.332665
L,1477010456200000,1.36418
R,1477010456250000,5.79113
L,1477010456300000,2.66459
R,1477010456350000,2.76033
L,1477010456400000,3.19741
R,1477010456450000,0.793276
L,1477010456500000,2.845
R,1477010456550000,5.91344
L,1477010456600000,0.845562
R,1477010456650000,21.3026
L,1477010456700000,1.05289
R,1477010456750000,4.42719
L,1477010456800000,3.9748
R,1477010456850000,6.14003
L,1477010456900000,0.66809
R,1477010456950000,2.20124
L,1477010457000000,1.86967
R,1477010457050000,5.78359
L,1477010457100000,0.104734
R,1477010457150000,4.01388
L,1477010457200000,1.29755
R,1477010457250000,2.23312
L,1477010457300000,1.25161
R,1477010457350000,0.135993
L,1477010457400000,1.58321
R,1477010457450000,4.51119
L,1477010457500000,6.4504
R,1477010457550000,0.74497
L,1477010457600000,0.621405
R,1477010457650000,0.391889
L,1477010457700000,1.28661
R,1477010457750000,2.43731
L,1477010457800000,0.128339
R,1477010457850000,5.01366
L,1477010457900000,2.14333
R,1477010457950000,0.627525
L,1477010458000000,0.633325
R,1477010458050000,8.15264
L,1477010458100000,8.49479
R,1477010458150000,1.15295
L,1477010458200000,0.341786
R,1477010458250000,6.88461
L,1477010458300000,1.35347
R,1477010458350000,1.51942
L,1477010458400000,3.21075
R,1477010458450000,2.75456
L,1477010458500000,3.74329
R,1477010458550000,1.85939
L,1477010458600000,4.17954
R,1477010458650000,2.93594
L,1477010458700000,5.92359
R,1477010458750000,3.98746
L,1477010458800000,3.47036
R,1477010458850000,2.12686
L,1477010458900000,5.18969
R,1477010458950000,4.16261
L,1477010459000000,4.10327
R,1477010459050000,2.29189
L,1477010459100000,5.6135
R,1477010459150000,7.20823
L,1477010459200000,0.15096
R,1477010459250000,1.79486
L,1477010459300000,0.011009
R,1477010459350000,0.493372
L,1477010459400000,4.06004
R,1477010459450000,3.45183
L,1477010459500000,3.33812
R,1477010459550000,2.20845
L,1477010459600000,1.15408
R,1477010459650000,2.77158
L,1477010459700000,1.60889
R,1477010459750000,6.27443
L,1477010459800000,1.79385
R,1477010459850000,6.76679
L,1477010459900000,0.320439
R,1477010459950000,1.65729
L,1477010460000000,0.706546
R,1477010460050000,1.04715
L,1477010460100000,1.92045
R,1477010460150000,1.78713
L,1477010460200000,0.087628
R,1477010460250000,4.32223
L,1477010460300000,3.74329
R,1477010460350000,1.49713
L,1477010460400000,2.04244
R,1477010460450000,5.43333
L,1477010460500000,14.1646
R,1477010460550000,1.40885
L,1477010460600000,1.02461
R,1477010460650000,2.11826
L,1477010460700000,2.19464
R,1477010460750000,1.64202
L,1477010460800000,3.22319
R,1477010460850000,7.37738
L,1477010460900000,1.07402
R,1477010460950000,1.84258
L,1477010461000000,0.808869
R,1477010461050000,1.51485
L,1477010461100000,4.11677
R,1477010461150000,4.39051
L,1477010461200000,1.37905
R,1477010461250000,1.2282
L,1477010461300000,1.16466
R,1477010461350000,0.733765
L,1477010461400000,2.81908
R,1477010461450000,2.13365
L,1477010461500000,3.33259
R,1477010461550000,3.65646
L,1477010461600000,7.00687
R,1477010461650000,0.661823
L,1477010461700000,1.6424
R,1477010461750000,2.07938
L,1477010461800000,0.581028
R,1477010461850000,0.872878
L,1477010461900000,0.263909
R,1477010461950000,6.74599
L,1477010462000000,1.05244
R,1477010462050000,0.396832
L,1477010462100000,0.304648
R,1477010462150000,10.3841
L,1477010462200000,1.99242
R,1477010462250000,3.74724
L,1477010462300000,5.11215
R,1477010462350000,1.21881
L,1477010462400000,1.87671
R,1477010462450000,1.19888
L,1477010462500000,5.35965
R,1477010462550000,0.621014
L,1477010462600000,1.38616
R,1477010462650000,1.92218
L,1477010462700000,1.35565
R,1477010462750000,2.03772
L,1477010462800000,0.274486
R,1477010462850000,4.93466
L,1477010462900000,0.267099
R,1477010462950000,2.23559
L,1477010463000000,2.53984
R,1477010463050000,1.73802
L,1477010463100000,1.74187
R,1477010463150000,1.56407
L,1477010463200000,3.39506
R,1477010463250000,7.89646
L,1477010463300000,0.134161
R,1477010463350000,8.52794
L,1477010463400000,0.125907
R,1477010463450000,0.154426
L,1477010463500000,0.586221
R,1477010463550000,1.60716
L,1477010463600000,0.228945
R,1477010463650000,2.20592
L,1477010463700000,2.17856
R,1477010463750000,2.36081
L,1477010463800000,0.0215099
R,1477010463850000,0.96112
L,1477010463900000,3.86356
R,1477010463950000,0.544166
L,1477010464000000,1.86678
R,1477010464050000,8.948
L,1477010464100000,0.534677
R,1477010464150000,2.22722
L,1477010464200000,0.960497
R,1477010464250000,0.82265
L,1477010464300000,1.17886
R,1477010464350000,3.29258
L,1477010464400000,0.0306486
R,1477010464450000,4.64164
L,1477010464500000,0.110107
R,1477010464550000,2.33668
L,1477010464600000,4.45726
R,1477010464650000,5.58244
L,1477010464700000,1.27515
R,1477010464750000,1.28139
L,1477010464800000,0.375965
R,1477010464850000,2.48536
L,1477010464900000,2.39312
R,1477010464950000,6.34933
L,1477010465000000,0.42353
R,1477010465050000,1.93279
L,1477010465100000,3.51776
R,1477010465150000,8.02218
L,1477010465200000,3.89287
R,1477010465250000,3.81758
L,1477010465300000,1.86952
R,1477010465350000,3.41654
L,1477010465400000,0.784722
R,1477010465450000,3.43328
L,1477010465500000,0.167933
R,1477010465550000,4.49239
L,1477010465600000,5.698
R,1477010465650000,1.81299
L,1477010465700000,1.27253
R,1477010465750000,4.64347
L,1477010465800000,5.49892
R,1477010465850000,3.52009
L,1477010465900000,3.48593
R,1477010465950000,0.746707
L,1477010466000000,4.81106
R,1477010466050000,0.250361
L,1477010466100000,3.75716
R,1477010466150000,0.886303
L,1477010466200000,0.0741971
R,1477010466250000,0.575505
L,1477010466300000,0.181329
R,1477010466350000,8.78581
L,1477010466400000,1.53261
R,1477010466450000,6.16535
L,1477010466500000,1.26607
R,1477010466550000,0.86521
L,1477010466600000,12.2552
R,1477010466650000,3.34536
L,1477010466700000,0.423683
R,1477010466750000,0.522168
L,1477010466800000,6.14776
R,1477010466850000,2.6425
L,1477010466900000,0.662406
R,1477010466950000,1.67766
L,1477010467000000,3.26152
R,1477010467050000,3.38965
L,1477010467100000,0.602043
R,1477010467150000,8.07681
L,1477010467200000,3.47538
R,1477010467250000,0.0904542
L,1477010467300000,0.685879
R,1477010467350000,7.34251
L,1477010467400000,2.78192
R,1477010467450000,3.77535
L,1477010467500000,1.12335
R,1477010467550000,2.78829
L,1477010467600000,1.50593
R,1477010467650000,6.20371
L,1477010467700000,5.60669
R,1477010467750000,2.17489
L,1477010467800000,4.80966
R,1477010467850000,3.02617
L,1477010467900000,0.485783
